	ckpt_intvl	sfs_bw	bb_bw	sys_mtbf	low_bound	avg	high_bound
213	1h	80000000000.0	10000000000.0	10800.0	0.00675246288886169	0.011512678067069479	0.01736487761190817
214	1h	80000000000.0	10000000000.0	7200.0	0.017121032398357366	0.024411368593958028	0.03330092770647731
215	1h	80000000000.0	10000000000.0	3600.0	0.0506550626930681	0.06866039068296276	0.08722078080032093
216	1h	70000000000.0	10000000000.0	86400.0	-6.389520237902934e-05	-0.00010853931662765958	0.0008619285827241713
217	1h	70000000000.0	10000000000.0	82800.0	-5.766776361791783e-05	0.0001146448727697817	0.0005043817793763277
218	1h	70000000000.0	10000000000.0	79200.0	-9.192719554016604e-05	0.0002385434951613771	0.0008341130320771601
219	1h	70000000000.0	10000000000.0	75600.0	-7.799070572731394e-05	-0.0002461422022195448	0.0007385987290188462
220	1h	70000000000.0	10000000000.0	72000.0	-0.00010623638118278163	0.00023339447733550516	0.0008118888103257312
221	1h	70000000000.0	10000000000.0	68400.0	-0.0001303227960365825	-0.00017961753773377079	0.0008388302614620067
222	1h	70000000000.0	10000000000.0	64800.0	-0.00017815934651528684	-0.00014398562594333483	0.0008973675005978698
223	1h	70000000000.0	10000000000.0	61200.0	-0.00019264329354511263	-0.00033327457652927695	0.0011161493886161686
224	1h	70000000000.0	10000000000.0	57600.0	-0.0002470172676965261	-0.00019164591159640085	0.0009137955709949148
225	1h	70000000000.0	10000000000.0	54000.0	-0.00022751156608081656	3.9757327185728454e-05	0.0010811403643127973
226	1h	70000000000.0	10000000000.0	50400.0	-0.0002667589579873046	6.913202091076158e-05	0.0010584378461747073
227	1h	70000000000.0	10000000000.0	46800.0	-0.0002036678266327073	0.0005115584620814608	0.0013618788822390773
228	1h	70000000000.0	10000000000.0	43200.0	-0.00026021504238436094	0.0003901417651702571	0.001282473530696966
229	1h	70000000000.0	10000000000.0	39600.0	-0.00014296572847349647	-3.569164169797321e-05	0.001942635072470999
230	1h	70000000000.0	10000000000.0	36000.0	-0.0001598198604673409	0.0011030901908100218	0.002797632498497348
231	1h	70000000000.0	10000000000.0	32400.0	-1.1509449503803362e-05	0.0013613282117437688	0.0034948966189889893
232	1h	70000000000.0	10000000000.0	28800.0	0.0005209818454008795	0.00162073734521622	0.004365538160314454
233	1h	70000000000.0	10000000000.0	25200.0	0.00026980105595130074	0.0020826127080275257	0.003974481727600171
234	1h	70000000000.0	10000000000.0	21600.0	0.0011545280980617433	0.002971018580179655	0.005534158091356246
235	1h	70000000000.0	10000000000.0	18000.0	0.0013980975418259095	0.004630555565734758	0.00858343479761395
236	1h	70000000000.0	10000000000.0	14400.0	0.003648275997678926	0.007170668820768009	0.011537236328581987
237	1h	70000000000.0	10000000000.0	10800.0	0.007772765738131852	0.013319497144563045	0.019029355169331352
238	1h	70000000000.0	10000000000.0	7200.0	0.01922607322761612	0.027722450963372416	0.038092487170469036
239	1h	70000000000.0	10000000000.0	3600.0	0.060577037996256355	0.07621770670528723	0.09204199165227692
